,planting_id,unit_id,interval_start,interval_duration_sec,shelf,row,col,plant_age_sec,leaf_area,weight,last_co2,last_do,last_ec,last_orp,last_ph,last_hum,last_air_temp,sum_temp,sum_par,start,plant_eui,description
192,6547,10,2019-06-25 16:00:00+00:00,900,1,1,1,934,36.1887,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:26+00:00,,
193,6548,10,2019-06-25 16:00:00+00:00,900,1,1,2,933,33.8755,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:27+00:00,,
194,6549,10,2019-06-25 16:00:00+00:00,900,1,1,3,933,30.2331,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:27+00:00,,
195,6550,10,2019-06-25 16:00:00+00:00,900,1,1,4,933,37.602,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:27+00:00,,
196,6551,10,2019-06-25 16:00:00+00:00,900,1,1,5,933,31.3163,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:27+00:00,,
197,6552,10,2019-06-25 16:00:00+00:00,900,1,1,6,933,32.2062,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:27+00:00,,
198,6553,10,2019-06-25 16:00:00+00:00,900,1,2,1,933,34.5401,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:27+00:00,,
199,6554,10,2019-06-25 16:00:00+00:00,900,1,2,2,932,20.8512,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:28+00:00,,
200,6555,10,2019-06-25 16:00:00+00:00,900,1,2,3,932,30.4589,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:28+00:00,,
201,6556,10,2019-06-25 16:00:00+00:00,900,1,2,4,932,32.6371,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:28+00:00,,
202,6557,10,2019-06-25 16:00:00+00:00,900,1,2,5,932,29.7519,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:28+00:00,,
203,6558,10,2019-06-25 16:00:00+00:00,900,1,2,6,932,25.0711,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:28+00:00,,
204,6559,10,2019-06-25 16:00:00+00:00,900,1,3,1,931,37.4405,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:29+00:00,,
205,6560,10,2019-06-25 16:00:00+00:00,900,1,3,2,931,26.2713,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:29+00:00,,
206,6561,10,2019-06-25 16:00:00+00:00,900,1,3,3,931,23.4419,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:29+00:00,,
207,6562,10,2019-06-25 16:00:00+00:00,900,1,3,4,931,33.8924,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:29+00:00,,
208,6563,10,2019-06-25 16:00:00+00:00,900,1,3,5,931,27.6379,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:29+00:00,,
209,6564,10,2019-06-25 16:00:00+00:00,900,1,3,6,931,24.7776,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:29+00:00,,
210,6565,10,2019-06-25 16:00:00+00:00,900,1,4,1,930,32.385,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:30+00:00,,
211,6566,10,2019-06-25 16:00:00+00:00,900,1,4,2,930,33.6755,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:30+00:00,,
213,6568,10,2019-06-25 16:00:00+00:00,900,1,4,4,930,34.5544,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:30+00:00,,
214,6569,10,2019-06-25 16:00:00+00:00,900,1,4,5,930,29.2429,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:30+00:00,,
215,6570,10,2019-06-25 16:00:00+00:00,900,1,4,6,930,28.6621,,1950.0,9.29,1026.0,242.0,5.924,60.8,24.5,519113.7,69184.8800000001,2019-06-25 15:44:30+00:00,,
