,planting_id,unit_id,interval_start,interval_duration_sec,shelf,row,col,plant_age_sec,leaf_area,weight,last_co2,last_do,last_ec,last_orp,last_ph,last_hum,last_air_temp,sum_temp,sum_par,start,plant_eui,description
25824,6547,10,2019-06-28 10:45:00+00:00,900,1,1,1,241234,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:26+00:00,,
25825,6548,10,2019-06-28 10:45:00+00:00,900,1,1,2,241233,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:27+00:00,,
25826,6549,10,2019-06-28 10:45:00+00:00,900,1,1,3,241233,,10.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:27+00:00,,
25827,6550,10,2019-06-28 10:45:00+00:00,900,1,1,4,241233,,20.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:27+00:00,,
25828,6551,10,2019-06-28 10:45:00+00:00,900,1,1,5,241233,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:27+00:00,,
25829,6552,10,2019-06-28 10:45:00+00:00,900,1,1,6,241233,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:27+00:00,,
25830,6553,10,2019-06-28 10:45:00+00:00,900,1,2,1,241233,,40.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:27+00:00,,
25831,6554,10,2019-06-28 10:45:00+00:00,900,1,2,2,241232,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:28+00:00,,
25832,6555,10,2019-06-28 10:45:00+00:00,900,1,2,3,241232,,50.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:28+00:00,,
25833,6556,10,2019-06-28 10:45:00+00:00,900,1,2,4,241232,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:28+00:00,,
25834,6557,10,2019-06-28 10:45:00+00:00,900,1,2,5,241232,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:28+00:00,,
25835,6558,10,2019-06-28 10:45:00+00:00,900,1,2,6,241232,,35.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:28+00:00,,
25836,6559,10,2019-06-28 10:45:00+00:00,900,1,3,1,241231,,50.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:29+00:00,,
25837,6560,10,2019-06-28 10:45:00+00:00,900,1,3,2,241231,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:29+00:00,,
25838,6561,10,2019-06-28 10:45:00+00:00,900,1,3,3,241231,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:29+00:00,,
25839,6562,10,2019-06-28 10:45:00+00:00,900,1,3,4,241231,,50.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:29+00:00,,
25840,6563,10,2019-06-28 10:45:00+00:00,900,1,3,5,241231,,35.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:29+00:00,,
25841,6564,10,2019-06-28 10:45:00+00:00,900,1,3,6,241231,,35.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:29+00:00,,
25842,6565,10,2019-06-28 10:45:00+00:00,900,1,4,1,241230,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:30+00:00,,
25843,6566,10,2019-06-28 10:45:00+00:00,900,1,4,2,241230,,50.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:30+00:00,,
25844,6567,10,2019-06-28 10:45:00+00:00,900,1,4,3,241230,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:30+00:00,,
25845,6568,10,2019-06-28 10:45:00+00:00,900,1,4,4,241230,,45.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:30+00:00,,
25846,6569,10,2019-06-28 10:45:00+00:00,900,1,4,5,241230,,40.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:30+00:00,,
25847,6570,10,2019-06-28 10:45:00+00:00,900,1,4,6,241230,,40.0,1057.0,7.87,737.3,,,60.6,27.9,7133662.9,42477201.5299999,2019-06-25 15:44:30+00:00,,
25848,6571,10,2019-06-28 10:45:00+00:00,900,2,1,1,241229,,30.0,1057.0,7.87,737.3,,,65.4,27.2,7046185.0,42778669.59,2019-06-25 15:44:31+00:00,,
25849,6572,10,2019-06-28 10:45:00+00:00,900,2,1,2,241229,,30.0,1057.0,7.87,737.3,,,65.4,27.2,7046185.0,42778669.59,2019-06-25 15:44:31+00:00,,
25850,6573,10,2019-06-28 10:45:00+00:00,900,2,1,3,241229,,20.0,1057.0,7.87,737.3,,,65.4,27.2,7046185.0,42778669.59,2019-06-25 15:44:31+00:00,,
25851,6574,10,2019-06-28 10:45:00+00:00,900,2,1,4,241229,,20.0,1057.0,7.87,737.3,,,65.4,27.2,7046185.0,42778669.59,2019-06-25 15:44:31+00:00,,
25852,6575,10,2019-06-28 10:45:00+00:00,900,2,1,5,241229,,20.0,1057.0,7.87,737.3,,,65.4,27.2,7046185.0,42778669.59,2019-06-25 15:44:31+00:00,,
25853,6576,10,2019-06-28 10:45:00+00:00,900,2,1,6,241228,,20.0,1057.0,7.87,737.3,,,65.4,27.2,7046185.0,42778669.59,2019-06-25 15:44:32+00:00,,
